source,name,formula,class,collapsed_spectra_count
ROD,Hydroxylclinohumite,Fe0.58H2Mg8.42O18Si4,Silicates,4
ROD,Hydroxylherderite,BeCaF0.48H0.52O4.52P,Oxides / hydroxides,2
ROD,Inderite,B3H15MgO13,Oxides / hydroxides,2
ROD,Indialite,Al4.251Ca0.084Fe0.06K0.336Mg1.94O18Si4.749,Silicates,2
ROD,Indium oxide,In2O3,Oxides / hydroxides,3
ROD,Inesite,Ca2H11.912Mn7O34.956Si10,Silicates,2
ROD,Inyoite,B3CaH13O12,Oxides / hydroxides,2
ROD,Iodargyrite,AgI,Halides,1
ROD,Iriginite,H6Mo2O12U,Oxides / hydroxides,2
ROD,Iron(II) sulfate,FeO4S,Oxides / hydroxides,4
ROD,Jahnsite-(CaMnMg),CaFe2H18Mg2MnO26P4,Oxides / hydroxides,2
ROD,Jamesite,As4Fe4.8H10O26Pb4Zn2.2,Oxides / hydroxides,2
ROD,Jeanbandyite,FeO6Sn,Oxides / hydroxides,2
ROD,Joesmithite,Be1.694Ca1.9Fe2.449H2K0.072Mg2.551Na0.1O24Pb0.928Si6.306,Silicates,2
ROD,Johachidolite,AlB3CaO7,Oxides / hydroxides,2
ROD,Jouravskite,CH30Ca3MnO25S,Oxides / hydroxides,2
ROD,K-cymrite,AlH2KO9Si3,Silicates,1
ROD,Kainite,Cl4H22K4Mg4O27S4,Oxides / hydroxides,2
ROD,Kaliborite,B12H19KMg2O30,Oxides / hydroxides,2
ROD,Kamphaugite-(Y),C2H3CaO8Y,Oxides / hydroxides,2
ROD,Kapellasite,Cl2.18Cu3H5.82O5.82Zn,Oxides / hydroxides,1
ROD,Kasolite,H2O7PbSiU,Silicates,2
ROD,Keyite,As3CdCu1.5H0.02O14Zn2,Oxides / hydroxides,2
ROD,Kidwellite,As0.476Cu0.356Fe9H19NaO38P5.524,Oxides / hydroxides,2
ROD,Klebelsbergite,H2O10SSb4,Oxides / hydroxides,2
ROD,Kleinite,ClH20Hg4N2OS,Oxides / hydroxides,2
ROD,Klockmannite,CuSe,Other classes,2
ROD,kokchetavite,AlKO8Si3,Silicates,1
ROD,Kombatite,Cl4O17Pb14V2,Oxides / hydroxides,2
ROD,Krausite,FeH2KO9S2,Oxides / hydroxides,2
ROD,Kristiansenite,Ca4Fe0.41H2O28Sc1.52Si8Sn2.07,Silicates,2
ROD,Krohnkite,CuH4Na2O10S2,Oxides / hydroxides,2
ROD,Kuksite,As0.404O14P1.594Pb3TeZn3,Oxides / hydroxides,2
ROD,Kurchatovite,B2CaMgO5,Oxides / hydroxides,2
ROD,Labuntsovite-Mn,H15.68K3.4Mn0.2Na2Nb0.8O32.4Si8Ti3.2,Silicates,2
ROD,Lanarkite,O5Pb2S,Oxides / hydroxides,2
ROD,Langbeinite,K2Mg2O12S3,Oxides / hydroxides,2
ROD,Lanthanum hexaboride,B6La,Other classes,1
ROD,Larderellite,B5H4NO10,Oxides / hydroxides,2
ROD,Laueite,Fe2H4MnO18P2,Oxides / hydroxides,2
ROD,Laurite,RuS2,Sulfides,2
ROD,Lavenite,Ca0.82F1.25Mn0.79Na1.18O7.75Si2Ti0.477Zr0.733,Silicates,2
ROD,Lawrencite,Cl2Fe,Halides,2
ROD,Lead nitrate,N2O6Pb,Oxides / hydroxides,1
ROD,Leadhillite,C2H2O12Pb4S,Oxides / hydroxides,2
ROD,Leifite,Al2.66Be2F2K0.46Na6.2O39Si15.34,Silicates,2
ROD,Leightonite,CaCu0.68H4KO9S2,Oxides / hydroxides,2
ROD,Leiteite,As2O4Zn,Oxides / hydroxides,2
ROD,Lemoynite,Ca0.83Cu0.01Fe0.08H14KMg0.04NaNb0.08O32Si10Ti0.06Zn0.02Zr1.86,Silicates,2
ROD,Lepidocrocite,FeHO2,Oxides / hydroxides,3
ROD,Leucosphenite,B2BaNa4O30Si10Ti2,Silicates,2
ROD,Li Y F4,F4LiY,Halides,4
ROD,Lindgrenite,Cu3H2Mo2O10,Oxides / hydroxides,2
ROD,Litharge,OPb,Oxides / hydroxides,2
ROD,lithiophosphate,Li6O8P2,Oxides / hydroxides,1
ROD,Lithium carbonate,CLi2O3,Oxides / hydroxides,4
ROD,Lithium metaborate,B4Li4O8,Oxides / hydroxides,2
ROD,Lithium molybdate,Li2MoO4,Molybdates,4
ROD,Lizardite,H4Mg3O9Si2,Silicates,1
ROD,Luetheite,Al0.635AsCuFe0.365H2O6,Oxides / hydroxides,2
ROD,Lulzacite,Al4Ba0.08Fe2.26H4Mg0.74O26P3.92Sr1.92V0.08,Oxides / hydroxides,2
ROD,Maghemite,Fe2O3,Oxides / hydroxides,1
ROD,Magnetite,Fe3O4,Oxides / hydroxides,1
ROD,Manganaxinite,Al1.86BCa1.95Fe0.18H0.9Mg0.015Mn0.995O16Si4,Silicates,6
ROD,Manganoeudialyte,C2.64H40.56Al0.75Ca18Ce0.18F0.39Fe3.6K1.17Mn5.72Na47.84Nb0.87O254.37Si75.57Sr2.43Ti0.57Zr9.24,Silicates,2
ROD,Manganoquadratite,AgAsMnS3,Sulfides,2
ROD,Manganosite,MoO,Oxides / hydroxides,2
ROD,melanophlogite,O2Si,Silicates,1
ROD,mercuric oxide,HgO,Oxides / hydroxides,1
ROD,Moissanite,CSi,Silicates,2
ROD,Moissanite 6O SiC,CSi,Silicates,1
ROD,Molybdite,MoO3,Oxides / hydroxides,5
ROD,Monetite,CaHO4P,Oxides / hydroxides,4
ROD,Monosodium phosphate,H2NaO4P,Oxides / hydroxides,1
ROD,Montroydite,HgO,Oxides / hydroxides,2
ROD,Mooreite,H42Mg9Mn1.882O42S2Zn4,Oxides / hydroxides,2
ROD,Muirite,Ba9.5Ca3.5Cl4H12O36Si8Ti,Silicates,2
ROD,Muscovite,Al3H2KO12Si3,Silicates,1
ROD,Mushistonite,CuH6O6Sn,Oxides / hydroxides,2
ROD,Nahcolite,CHNaO3,Oxides / hydroxides,3
ROD,Namibite,Bi2CuHO7V,Oxides / hydroxides,2
ROD,Narsarsukite,Na4O22Si8Ti2,Silicates,2
ROD,Natanite,FeH6O6Sn,Oxides / hydroxides,2
ROD,Natroalunite,Al3H6K0.42Na0.58O14S2,Oxides / hydroxides,1
ROD,Nchwaningite,H4Mn2O6Si,Silicates,2
ROD,Neodymium oxide,Nd2O3,Oxides / hydroxides,4
ROD,Niobite,Nb2O5,Oxides / hydroxides,4
ROD,Niobium dioxide,NbO2,Oxides / hydroxides,4
ROD,Nitratine,NNaO3,Oxides / hydroxides,4
ROD,Nitrobarite,BaN2O6,Oxides / hydroxides,4
ROD,Nitrocalcite,CaH8N2O10,Oxides / hydroxides,2
ROD,Nitrocalcite,CaN2O6,Oxides / hydroxides,2
ROD,Oleylamine,C18H37N,Other classes,1
ROD,Otavite,CCdO3,Oxides / hydroxides,1
ROD,Ottoite,O5Pb2Te,Oxides / hydroxides,2
ROD,Oxonickel,NiO,Oxides / hydroxides,1
ROD,Parakeldyshite,H0.066Na1.934O7Si2Zr,Silicates,1
ROD,Paralstonite,C2BaCaO6,Oxides / hydroxides,4
ROD,Peretaite,CaH6O16S2Sb4,Oxides / hydroxides,2
ROD,Perhamite,Al7.7Ca2.7H12.68O45.862P4Si3Sr0.3,Silicates,2
ROD,Perraultite,Ba2.5CaF4Fe6.1H8K1.2Mn9.4Na3Nb0.32O72Si16Ti7.68Zr0.3,Silicates,2
ROD,Pertlikite,AlFe4.47H84K2Mg3.53O66.252S12,Oxides / hydroxides,2
ROD,Pharmacolite,AsCaH5O6,Oxides / hydroxides,2
ROD,Pharmacosiderite,As3Fe4O21,Oxides / hydroxides,2
ROD,phase II or wII,O4SiZn2,Silicates,1
ROD,phase III,O4SiZn2,Silicates,1
ROD,phase IV,O4SiZn2,Silicates,1
ROD,Phillipsite-Ca,Al2.672Ca0.82H12KO22Si5.328,Silicates,2
ROD,Plattnerite,O2Pb,Oxides / hydroxides,4
ROD,Polyhexamethylene guanidine,C12H10N4O2,Oxides / hydroxides,1
ROD,Portlandite,CaH2O2,Oxides / hydroxides,2
ROD,Potassium carbonate,CK2O3,Oxides / hydroxides,1
ROD,protoenstatite,MgO3Si,Silicates,1
ROD,Pyrite,FeS2,Sulfides,5
ROD,Pyrope,Al2Mg3O12Si3,Silicates,2
ROD,Pyrosmalite-(Fe),Cl1.857Fe8H12.025O23.584Si6,Silicates,1
ROD,Quartz,O2Si,Silicates,1
ROD,Quartz low,O2Si,Silicates,1
ROD,Rhodostannite,CuFe0.5S4Sn1.5,Sulfides,1
ROD,Rosasite,CH2Cu1.2O5Zn0.8,Oxides / hydroxides,2
ROD,Rutile,O2Ti,Oxides / hydroxides,3
ROD,Saltonseaite,Cl6K3MnNa,Halides,2
ROD,Saltpeter,K3NO4,Oxides / hydroxides,3
ROD,Samarium (III) oxide,O3Sm2,Oxides / hydroxides,3
ROD,Scandia,O3Sc2,Oxides / hydroxides,3
ROD,Scheelite,CaO4W,Oxides / hydroxides,2
